2022-02-09 05:09:53.106 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 410, tbs_ : 477, time: 40764229, acked_bytes: 1350
2022-02-09 05:09:53.118 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2358, time: 40764230, acked_bytes: 1350
2022-02-09 05:09:53.130 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 96, time: 40764231, acked_bytes: 1350
2022-02-09 05:09:53.136 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 96, time: 40764232, acked_bytes: 1350
2022-02-09 05:09:53.148 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 96, time: 40764233, acked_bytes: 1350
2022-02-09 05:09:53.160 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 96, time: 40764234, acked_bytes: 1350
2022-02-09 05:09:53.166 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 96, time: 40764235, acked_bytes: 1350
2022-02-09 05:09:53.178 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 96, time: 40764236, acked_bytes: 1350
2022-02-09 05:09:53.185 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 238, time: 40764237, acked_bytes: 1350
2022-02-09 05:09:53.197 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2120, time: 40764238, acked_bytes: 1350
2022-02-09 05:09:53.209 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 9, time: 40764239, acked_bytes: 1350
2022-02-09 05:09:53.215 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 9, time: 40764240, acked_bytes: 1350
2022-02-09 05:09:53.227 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 415, tbs_ : 9, time: 40764241, acked_bytes: 1350
2022-02-09 05:09:53.248 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 257, time: 40764243, acked_bytes: 128
2022-02-09 05:09:53.263 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 687, tbs_ : 1213, time: 40764244, acked_bytes: 1350
2022-02-09 05:09:53.268 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2268, time: 40764245, acked_bytes: 1350
2022-02-09 05:09:53.280 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2268, time: 40764246, acked_bytes: 1350
2022-02-09 05:09:53.285 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2268, time: 40764247, acked_bytes: 1350
2022-02-09 05:09:53.298 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 945, tbs_ : 2268, time: 40764248, acked_bytes: 1350
2022-02-09 05:09:53.310 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1735, time: 40764249, acked_bytes: 1350
2022-02-09 05:09:53.317 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1735, time: 40764250, acked_bytes: 1350
2022-02-09 05:09:53.328 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 2101, time: 40764251, acked_bytes: 1350
2022-02-09 05:09:53.335 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2540, time: 40764252, acked_bytes: 1350
2022-02-09 05:09:53.346 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2540, time: 40764253, acked_bytes: 1350
2022-02-09 05:09:53.359 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2540, time: 40764254, acked_bytes: 1350
2022-02-09 05:09:53.365 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2540, time: 40764255, acked_bytes: 1350
2022-02-09 05:09:53.376 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2540, time: 40764256, acked_bytes: 1350
2022-02-09 05:09:53.388 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 294, time: 40764257, acked_bytes: 1350
2022-02-09 05:09:53.395 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2079, time: 40764258, acked_bytes: 1350
2022-02-09 05:09:53.406 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 6, time: 40764259, acked_bytes: 1350
2022-02-09 05:09:53.418 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2235, time: 40764260, acked_bytes: 1350
2022-02-09 05:09:53.430 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2235, time: 40764261, acked_bytes: 1350
2022-02-09 05:09:53.437 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2235, time: 40764262, acked_bytes: 1350
2022-02-09 05:09:53.448 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 626, time: 40764263, acked_bytes: 1350
2022-02-09 05:09:53.455 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2268, time: 40764264, acked_bytes: 1350
2022-02-09 05:09:53.466 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2268, time: 40764265, acked_bytes: 1350
2022-02-09 05:09:53.479 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 2268, time: 40764266, acked_bytes: 1350
2022-02-09 05:09:53.485 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2268, time: 40764267, acked_bytes: 1350
2022-02-09 05:09:53.496 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2268, time: 40764268, acked_bytes: 1350
2022-02-09 05:09:53.508 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 357, time: 40764269, acked_bytes: 1350
2022-02-09 05:09:53.521 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2059, time: 40764270, acked_bytes: 1350
2022-02-09 05:09:53.527 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2059, time: 40764271, acked_bytes: 1350
2022-02-09 05:09:53.539 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 2059, time: 40764272, acked_bytes: 1350
2022-02-09 05:09:53.545 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 2059, time: 40764273, acked_bytes: 1350
2022-02-09 05:09:53.556 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 2059, time: 40764274, acked_bytes: 1350
2022-02-09 05:09:53.569 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 2394, time: 40764275, acked_bytes: 1350
2022-02-09 05:09:53.575 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1154, time: 40764276, acked_bytes: 1350
2022-02-09 05:09:53.586 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 716, time: 40764277, acked_bytes: 1350
