No.,Time,Source,Destination,Protocol,Length,Info,cumsum,Bytes in flight,good_time
17107,13.686929,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13446235 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,113972,108284,
17108,13.686933,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13447623 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,115432,109672,
17109,13.687481,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13449011 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,116892,111060,
17111,13.687498,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13450399 Ack=157 Win=87808 Len=1388 TSval=29486889 TSecr=2885411088,118352,112448,
17112,13.688033,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13451787 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,119812,113836,
17113,13.688037,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13453175 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,121272,115224,
17114,13.688587,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13454563 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,122732,116612,
17116,13.688605,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13455951 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,124192,118000,
17117,13.689139,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13457339 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,125652,119388,
17118,13.689143,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13458727 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,127112,120776,
17119,13.689689,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13460115 Ack=157 Win=87808 Len=1388 TSval=29486890 TSecr=2885411088,128572,122164,
17124,13.764452,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13461503 Ack=157 Win=87808 Len=1388 TSval=29486913 TSecr=2885411286,130032,122144,
17126,13.764548,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13462891 Ack=157 Win=87808 Len=1388 TSval=29486913 TSecr=2885411286,131492,123532,
17130,13.775992,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13464279 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411287,132952,119368,
17132,13.776048,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13465667 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411287,134412,120756,
17133,13.776119,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13467055 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411287,135872,122144,
17134,13.77613,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13468443 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411287,137332,123532,
17136,13.776228,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13469831 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411288,138792,122144,
17137,13.776241,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13471219 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411288,140252,123532,
17139,13.776324,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13472607 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411293,141712,122144,
17141,13.776364,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13473995 Ack=157 Win=87808 Len=1388 TSval=29486916 TSecr=2885411293,143172,123532,
17145,13.782863,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13475383 Ack=157 Win=87808 Len=1388 TSval=29486918 TSecr=2885411299,144632,117980,
17146,13.78288,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13476771 Ack=157 Win=87808 Len=1388 TSval=29486918 TSecr=2885411299,146092,119368,
17147,13.782922,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13478159 Ack=157 Win=87808 Len=1388 TSval=29486918 TSecr=2885411299,147552,120756,
17148,13.782929,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13479547 Ack=157 Win=87808 Len=1388 TSval=29486918 TSecr=2885411299,149012,122144,
17149,13.782968,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13480935 Ack=157 Win=87808 Len=1388 TSval=29486918 TSecr=2885411299,150472,123532,
17150,13.782975,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13482323 Ack=157 Win=87808 Len=1388 TSval=29486918 TSecr=2885411299,151932,124920,
17155,13.788367,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13483711 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411300,153392,120756,
17156,13.788384,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13485099 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411300,154852,122144,
17157,13.78843,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13486487 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411300,156312,123532,
17158,13.788438,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13487875 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411300,157772,124920,
17160,13.788526,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13489263 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411300,159232,123532,
17161,13.788535,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13490651 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411300,160692,124920,
17164,13.788653,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13492039 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411301,162152,122144,
17165,13.788663,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13493427 Ack=157 Win=87808 Len=1388 TSval=29486920 TSecr=2885411301,163612,123532,
17169,13.794224,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13494815 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,165072,117980,
17170,13.794245,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13496203 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,166532,119368,
